State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Utah,100,89,100,100,100,86,100,100,81,72,78,75,81,100,100,97,99,100,90,88,77,
Michigan,93,100,98,79,72,55,53,58,67,73,76,69,81,73,69,67,73,64,70,68,62,
California,81,86,84,73,80,68,52,81,92,94,88,89,92,90,93,99,94,79,88,100,95,
South Dakota,78,68,60,48,48,46,42,50,50,56,58,60,65,55,54,55,60,43,57,57,62,
Hawaii,77,78,67,54,64,69,71,67,82,86,78,100,94,91,89,93,100,89,89,89,84,
North Dakota,77,62,57,49,56,53,48,48,54,57,60,60,69,62,59,56,64,44,64,62,82,
Nevada,76,69,65,80,76,73,72,80,82,78,91,87,100,96,95,95,96,88,96,93,97,
Indiana,75,76,71,60,60,55,61,67,65,74,84,73,76,70,69,70,78,59,77,78,83,
New Jersey,75,83,84,62,68,58,61,71,86,79,90,86,88,82,75,81,96,82,87,86,83,
Oregon,73,74,80,80,95,100,83,80,85,64,59,64,76,65,72,92,84,68,75,76,75,
Texas,72,83,80,73,69,64,64,73,81,86,89,91,92,69,79,78,84,62,71,71,75,
Minnesota,71,64,65,55,55,52,51,59,63,63,61,67,73,67,69,65,70,55,74,71,98,
New York,67,76,84,76,70,67,71,83,97,100,100,91,92,86,82,76,83,71,80,82,87,
Illinois,66,75,81,67,65,66,71,88,93,87,98,86,90,77,81,79,92,78,100,87,82,
Kentucky,64,74,60,49,50,55,65,59,69,60,72,95,68,64,59,55,69,50,60,59,62,
Wisconsin,64,79,73,56,51,52,57,47,56,60,64,69,69,66,63,79,85,70,86,82,81,
Connecticut,62,63,64,54,59,62,61,60,72,70,68,66,75,72,67,71,81,73,75,79,84,
Pennsylvania,62,64,60,50,56,52,48,49,57,58,73,77,73,71,74,73,79,64,82,76,68,
Louisiana,62,66,53,48,73,57,56,63,70,77,79,79,80,80,83,74,84,63,88,80,74,
Virginia,60,64,59,52,47,41,41,55,56,60,56,50,69,65,69,64,72,59,66,66,63,
Ohio,60,66,69,63,61,75,64,64,68,68,78,91,96,87,81,73,75,51,71,76,69,
Rhode Island,60,65,58,52,63,61,64,56,69,63,67,69,80,80,80,80,98,65,88,94,96,
Mississippi,60,67,54,51,53,59,65,61,76,71,82,75,89,90,97,100,95,71,97,90,84,
Washington,58,62,56,54,56,53,51,59,66,60,63,64,59,53,55,56,64,49,58,56,58,
Idaho,57,48,47,41,45,41,41,45,39,45,47,48,52,48,53,52,53,45,50,47,48,
Delaware,57,66,70,67,66,56,52,56,66,66,75,74,75,73,82,88,89,74,95,83,80,
Florida,57,62,59,53,53,60,63,76,83,92,93,77,88,77,77,70,82,66,78,82,79,
North Carolina,56,73,60,51,58,59,58,56,61,67,72,73,81,69,69,66,79,58,72,71,72,
Arizona,55,83,85,83,78,72,71,69,66,73,72,64,74,61,72,69,73,82,97,98,89,
Kansas,53,56,42,39,50,44,48,51,59,58,70,46,55,45,47,45,55,42,53,54,48,
Iowa,53,51,45,40,37,37,42,46,49,50,57,59,62,52,47,50,56,49,58,58,55,
Alaska,53,57,45,39,47,44,41,49,52,56,59,58,70,62,64,70,69,61,66,74,60,
South Carolina,53,53,44,41,51,50,50,51,56,56,65,67,78,68,66,65,68,54,68,70,69,
Arkansas,53,46,52,39,43,44,49,45,51,55,62,63,64,62,62,61,64,51,64,66,60,
Maine,52,54,54,47,49,42,51,49,51,51,52,52,58,69,59,58,66,47,66,64,66,
Georgia,52,55,53,52,54,61,56,66,78,84,83,82,87,74,78,77,82,69,79,84,76,
West Virginia,52,51,53,40,45,41,45,44,47,46,56,53,54,52,47,49,54,39,51,47,49,
New Mexico,52,54,48,41,44,42,41,44,45,51,54,50,58,52,58,57,58,52,57,66,62,
Tennessee,51,50,53,45,51,47,48,53,61,60,67,76,70,62,59,55,70,53,68,64,64,
Maryland,51,64,64,52,56,53,56,58,69,75,78,70,76,76,78,70,82,68,83,83,78,
Massachusetts,50,59,56,60,75,66,72,66,74,75,81,82,80,88,82,79,90,71,95,99,100,
Nebraska,49,51,47,41,40,41,37,47,52,49,57,57,65,56,53,55,60,44,51,55,51,
Montana,48,50,50,37,42,40,36,37,41,41,46,48,53,48,46,48,48,40,52,52,52,
Vermont,48,59,40,43,46,50,76,43,50,50,49,51,60,57,52,51,65,46,60,61,67,
New Hampshire,48,51,48,46,52,47,56,46,53,46,49,53,65,66,57,54,63,46,67,62,74,
Colorado,47,57,51,42,52,60,47,52,58,60,56,51,56,51,56,60,69,57,62,82,76,
Alabama,47,52,43,34,44,46,47,48,54,58,58,60,72,64,65,60,65,51,68,61,57,
District of Columbia,47,57,60,58,70,57,55,70,87,84,81,83,84,87,77,69,85,81,98,90,86,
Wyoming,44,62,56,45,45,40,42,37,37,39,40,46,52,41,44,48,48,41,45,51,49,
Missouri,43,41,41,40,46,48,46,43,56,57,56,55,61,54,55,53,61,47,52,54,54,
Oklahoma,43,56,51,40,60,52,59,65,100,79,90,95,79,76,73,71,75,49,57,62,74,
